                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9498,                 4.3129,                 1.9519,                0.61174,                0.36031,                0.36191,                0.19146,                 1.5436,                 4.0294,                 1.7405,               6.67e-05,               6.67e-05,               6.67e-05
                      2,                  1.319,                 2.0864,                  1.442,                0.60952,                0.64089,                0.55714,                0.37042,                 1.2142,                 4.0436,                 1.4133,             0.00013868,             0.00013868,             0.00013868
                      3,                 1.1131,                 1.5142,                 1.2372,                0.53598,                0.79144,                0.67298,                0.42609,                   1.16,                 2.4125,                 1.3677,             0.00020921,             0.00020921,             0.00020921
                      4,                 1.0919,                 1.3026,                 1.2267,                0.61403,                0.78414,                0.71885,                0.45165,                 1.3301,                 1.6962,                 1.5136,             0.00027829,             0.00027829,             0.00027829
                      5,                 1.0656,                 1.1156,                 1.1526,                0.61982,                0.71078,                0.76681,                0.47256,                 1.3866,                 1.9184,                 1.4131,             0.00034592,             0.00034592,             0.00034592
                      6,                 1.0302,                0.99777,                 1.1402,                0.78725,                0.75854,                0.83265,                0.49707,                 1.3962,                 2.0176,                 1.4572,             0.00041209,             0.00041209,             0.00041209
                      7,                 1.0205,                 1.0096,                   1.14,                0.66975,                0.76998,                0.80117,                0.50841,                 1.3212,                 2.8575,                 1.4434,             0.00047681,             0.00047681,             0.00047681
                      8,                  1.042,                 1.0506,                 1.1489,                0.66894,                0.90573,                0.83705,                0.53345,                 1.3458,                 1.7147,                 1.4972,             0.00054008,             0.00054008,             0.00054008
                      9,                0.95481,                0.92895,                 1.1261,                0.82855,                 0.8351,                0.90028,                  0.612,                 1.2707,                 1.1339,                  1.451,             0.00060189,             0.00060189,             0.00060189
                     10,                  1.031,                0.95744,                 1.1885,                0.72137,                0.76741,                0.82686,                0.56729,                 1.2062,                 1.1579,                 1.3808,             0.00060757,             0.00060757,             0.00060757
                     11,                 1.0055,                0.89935,                 1.1767,                0.71279,                0.77709,                0.85215,                0.57933,                 1.2769,                 2.0667,                 1.4429,             0.00060097,             0.00060097,             0.00060097
                     12,                0.97963,                0.88427,                 1.1535,                0.77904,                0.83252,                0.88444,                0.58927,                 1.2054,                 1.7917,                  1.409,             0.00059436,             0.00059436,             0.00059436
                     13,                0.97553,                0.82356,                  1.159,                0.83414,                0.83151,                0.89721,                0.60348,                  1.135,                 1.6645,                 1.3299,             0.00058776,             0.00058776,             0.00058776
                     14,                0.97303,                0.78013,                 1.1652,                0.80032,                0.86943,                 0.9419,                0.62605,                 1.2982,                 1.6151,                 1.4114,             0.00058116,             0.00058116,             0.00058116
                     15,                0.93055,                0.73524,                 1.1085,                0.84528,                0.86421,                0.90809,                0.61964,                 1.2996,                0.99695,                 1.3882,             0.00057455,             0.00057455,             0.00057455
                     16,                0.99802,                0.81219,                  1.176,                 0.9366,                0.91803,                0.98572,                0.73539,                 1.0673,                0.67706,                 1.2627,             0.00056795,             0.00056795,             0.00056795
                     17,                0.88186,                0.72458,                 1.1111,                0.84695,                0.90142,                0.96549,                0.72897,                  1.041,                 1.0331,                 1.2905,             0.00056135,             0.00056135,             0.00056135
                     18,                0.91029,                0.68801,                 1.1091,                0.92216,                0.79076,                0.95232,                0.70713,                 1.2259,                 1.2634,                 1.3864,             0.00055474,             0.00055474,             0.00055474
                     19,                0.88494,                0.72934,                 1.1089,                0.87519,                0.87175,                0.92369,                0.67389,                 1.1541,                 1.4896,                 1.3893,             0.00054814,             0.00054814,             0.00054814
                     20,                0.87572,                0.68252,                 1.0932,                0.87354,                0.93053,                0.91946,                0.67273,                 1.1546,                 1.1326,                 1.3391,             0.00054154,             0.00054154,             0.00054154
                     21,                0.88672,                0.67883,                 1.0952,                0.89281,                0.91774,                0.96856,                0.71955,                 1.0301,                0.75461,                 1.2487,             0.00053493,             0.00053493,             0.00053493
                     22,                0.92277,                 0.7307,                 1.1522,                0.83284,                0.90375,                0.94943,                0.71714,                0.98617,                0.70711,                 1.2373,             0.00052833,             0.00052833,             0.00052833
                     23,                0.84926,                0.65431,                 1.1095,                0.90494,                0.83662,                0.91246,                 0.6562,                 1.0113,                0.78025,                 1.2943,             0.00052173,             0.00052173,             0.00052173
                     24,                0.83371,                0.63827,                 1.0858,                 0.9211,                0.81576,                0.92341,                0.66991,                0.99614,                0.62972,                  1.301,             0.00051512,             0.00051512,             0.00051512
                     25,                0.85297,                  0.636,                 1.1147,                0.87721,                0.93882,                0.95384,                0.69781,                0.96661,                0.61481,                 1.2544,             0.00050852,             0.00050852,             0.00050852
                     26,                0.86874,                0.67116,                  1.122,                0.81734,                0.93196,                0.93201,                0.69981,                0.92638,                0.68114,                 1.2214,             0.00050192,             0.00050192,             0.00050192
                     27,                0.83204,                0.67519,                 1.0779,                0.84342,                0.85625,                0.94012,                0.68575,                 1.0626,                0.75042,                 1.3471,             0.00049531,             0.00049531,             0.00049531
                     28,                0.84144,                0.65289,                 1.1012,                0.91457,                0.95205,                0.97524,                0.67768,                 1.1181,                0.59582,                 1.3652,             0.00048871,             0.00048871,             0.00048871
                     29,                0.81343,                0.62525,                 1.0614,                0.94611,                0.94764,                0.98119,                0.68305,                 1.0973,                0.60348,                 1.3509,             0.00048211,             0.00048211,             0.00048211
                     30,                0.79654,                0.59585,                 1.0715,                0.93732,                0.97824,                0.98894,                0.67324,                 1.2219,                0.62513,                 1.4769,              0.0004755,              0.0004755,              0.0004755
                     31,                0.79512,                 0.5983,                 1.0608,                0.91611,                0.94399,                0.96059,                0.65698,                 1.1588,                0.63504,                 1.3809,              0.0004689,              0.0004689,              0.0004689
                     32,                 0.7968,                 0.6093,                 1.0936,                 0.9277,                0.95395,                0.95765,                0.59897,                 1.2509,                0.71642,                 1.4909,              0.0004623,              0.0004623,              0.0004623
                     33,                0.79754,                0.57318,                 1.0568,                0.91961,                0.94286,                0.97636,                0.68315,                 1.1037,                0.74944,                 1.3451,             0.00045569,             0.00045569,             0.00045569
                     34,                 0.7664,                0.57875,                 1.0437,                0.91678,                0.95882,                0.98543,                0.67036,                  1.077,                0.56295,                 1.3058,             0.00044909,             0.00044909,             0.00044909
                     35,                0.75974,                0.55709,                 1.0509,                0.88691,                 0.9207,                0.98566,                  0.717,                 1.0674,                 0.6136,                 1.2994,             0.00044249,             0.00044249,             0.00044249
                     36,                0.75125,                0.55532,                 1.0279,                0.88898,                0.95898,                0.98158,                0.68347,                 1.1057,                0.63488,                 1.2977,             0.00043588,             0.00043588,             0.00043588
                     37,                0.75289,                0.52298,                 1.0468,                0.93049,                0.92304,                0.98101,                0.68385,                 1.0927,                0.64566,                 1.2895,             0.00042928,             0.00042928,             0.00042928
                     38,                 0.7427,                0.51127,                 1.0379,                 0.9178,                0.92412,                0.96696,                0.67639,                 1.0685,                0.64921,                 1.3195,             0.00042268,             0.00042268,             0.00042268
                     39,                0.75861,                0.50792,                 1.0335,                0.90762,                0.92273,                0.95897,                0.69848,                 1.0943,                0.65141,                 1.3101,             0.00041607,             0.00041607,             0.00041607
                     40,                0.73491,                0.49194,                 1.0196,                0.93334,                0.95045,                 0.9674,                0.72068,                 1.0943,                0.54335,                 1.2768,             0.00040947,             0.00040947,             0.00040947
                     41,                0.74929,                 0.5328,                 1.0314,                0.93938,                0.93736,                0.96983,                0.70815,                 1.0628,                0.55009,                 1.2558,             0.00040287,             0.00040287,             0.00040287
                     42,                0.73747,                0.52604,                 1.0211,                0.92074,                0.97511,                0.97865,                 0.7398,                0.95056,                0.52257,                  1.188,             0.00039626,             0.00039626,             0.00039626
                     43,                0.76983,                0.52806,                 1.0761,                0.97024,                0.94475,                0.99081,                0.71179,                 1.0431,                0.48816,                  1.302,             0.00038966,             0.00038966,             0.00038966
                     44,                0.72818,                0.50053,                   1.02,                0.98288,                      1,                 0.9947,                0.73074,                 1.0592,                0.50975,                 1.3208,             0.00038306,             0.00038306,             0.00038306
                     45,                0.76509,                0.53515,                 1.0393,                0.96998,                0.99725,                0.99374,                0.71898,                 1.1325,                0.53751,                 1.3822,             0.00037645,             0.00037645,             0.00037645
                     46,                0.70474,                0.46954,                 1.0087,                 0.9607,                0.97209,                0.99351,                0.68491,                 1.1947,                0.72273,                 1.4204,             0.00036985,             0.00036985,             0.00036985
                     47,                0.72147,                0.50011,                 1.0266,                0.96858,                0.97435,                0.99009,                0.72128,                 1.1004,                0.54282,                 1.3127,             0.00036325,             0.00036325,             0.00036325
                     48,                0.70428,                0.49606,                 1.0137,                0.96689,                0.95231,                0.98401,                0.72948,                 1.0429,                0.50548,                 1.2767,             0.00035664,             0.00035664,             0.00035664
                     49,                0.67742,                0.46654,                0.99908,                0.94376,                0.95711,                0.98365,                0.74835,                0.99282,                0.50321,                   1.24,             0.00035004,             0.00035004,             0.00035004
                     50,                0.67628,                0.46523,                0.99413,                0.95438,                0.96924,                0.98254,                0.70785,                 1.1516,                0.57161,                 1.3794,             0.00034344,             0.00034344,             0.00034344
                     51,                0.69661,                0.47974,                0.99981,                0.96685,                0.96211,                0.98716,                0.70659,                 1.1223,                0.50233,                 1.3729,             0.00033683,             0.00033683,             0.00033683
                     52,                0.64755,                0.43843,                0.98706,                0.96435,                0.97146,                0.98735,                0.70969,                 1.0611,                0.48279,                 1.2888,             0.00033023,             0.00033023,             0.00033023
                     53,                0.65563,                0.46565,                0.98333,                0.97893,                 0.9649,                 0.9942,                0.69323,                 1.0595,                0.48855,                 1.3093,             0.00032363,             0.00032363,             0.00032363
                     54,                0.66578,                0.47511,                0.98081,                0.95525,                0.97104,                0.99015,                0.68485,                 1.0399,                0.52392,                 1.2633,             0.00031703,             0.00031703,             0.00031703
                     55,                 0.6717,                0.48737,                 0.9983,                  0.907,                0.94296,                0.97062,                0.69238,                 1.0036,                 0.5198,                 1.2301,             0.00031042,             0.00031042,             0.00031042
                     56,                0.64224,                 0.4558,                 0.9709,                0.93588,                0.96809,                0.97003,                0.69397,                0.99367,                0.48726,                 1.2205,             0.00030382,             0.00030382,             0.00030382
                     57,                0.66743,                0.47614,                 1.0151,                0.90597,                0.98124,                0.97152,                0.68717,                 1.0011,                0.48171,                 1.2254,             0.00029722,             0.00029722,             0.00029722
                     58,                0.65301,                0.43677,                0.99354,                0.94251,                0.99645,                0.98802,                0.69483,                 1.0036,                0.46198,                 1.2324,             0.00029061,             0.00029061,             0.00029061
                     59,                0.62072,                0.41798,                0.96872,                0.92649,                0.98148,                0.98431,                0.71072,                0.99184,                0.45216,                 1.2387,             0.00028401,             0.00028401,             0.00028401
                     60,                0.63926,                0.42566,                0.97186,                0.96342,                0.98124,                0.98581,                 0.6976,                   1.03,                0.43348,                 1.2968,             0.00027741,             0.00027741,             0.00027741
                     61,                0.63289,                0.41104,                0.97509,                0.96196,                  0.984,                0.98781,                 0.6601,                 1.1674,                0.47238,                 1.4121,              0.0002708,              0.0002708,              0.0002708
                     62,                0.61546,                 0.4075,                0.97586,                0.95029,                0.95821,                0.98731,                0.68199,                 1.0958,                0.50488,                 1.3633,              0.0002642,              0.0002642,              0.0002642
                     63,                0.63371,                0.40316,                0.98049,                0.94634,                0.91372,                0.98904,                0.70696,                 1.0573,                0.49244,                 1.3395,              0.0002576,              0.0002576,              0.0002576
                     64,                0.62816,                0.42236,                0.98577,                0.96671,                0.94213,                0.99213,                0.71297,                 1.0525,                0.48972,                 1.3212,             0.00025099,             0.00025099,             0.00025099
                     65,                0.63059,                0.42835,                0.99425,                0.96517,                0.94487,                 0.9924,                0.72932,                 1.0385,                 0.5011,                  1.262,             0.00024439,             0.00024439,             0.00024439
                     66,                0.58599,                0.38176,                0.96775,                0.95479,                0.93953,                0.99023,                0.71835,                 1.0916,                0.48211,                 1.3063,             0.00023779,             0.00023779,             0.00023779
                     67,                0.61069,                0.41761,                0.97382,                0.94836,                0.91979,                0.97482,                0.71288,                  1.084,                0.49241,                  1.291,             0.00023118,             0.00023118,             0.00023118
                     68,                0.59536,                0.38972,                0.95799,                0.93012,                0.94694,                0.95019,                0.70525,                0.98006,                0.45716,                 1.2281,             0.00022458,             0.00022458,             0.00022458
                     69,                0.59603,                0.40492,                0.97617,                0.93006,                0.94585,                0.95277,                0.72192,                0.92315,                 0.4492,                 1.1764,             0.00021798,             0.00021798,             0.00021798
                     70,                0.57178,                0.39516,                0.95181,                0.94613,                0.93129,                0.95681,                0.71825,                0.93897,                 0.4501,                 1.1957,             0.00021137,             0.00021137,             0.00021137
                     71,                0.58313,                 0.4142,                0.95473,                 0.9442,                0.94393,                0.97593,                0.72004,                0.94989,                0.44559,                  1.207,             0.00020477,             0.00020477,             0.00020477
                     72,                0.57773,                 0.3911,                0.94998,                0.93951,                0.94901,                0.98126,                0.73577,                0.92946,                0.42971,                 1.1873,             0.00019817,             0.00019817,             0.00019817
                     73,                 0.5693,                 0.3704,                0.95949,                0.93406,                0.98025,                 0.9897,                0.72379,                0.95792,                0.42267,                 1.1961,             0.00019156,             0.00019156,             0.00019156
                     74,                0.57019,                0.37152,                0.95941,                0.92782,                0.99689,                0.99031,                0.73834,                 0.9333,                0.41172,                  1.187,             0.00018496,             0.00018496,             0.00018496
                     75,                0.58422,                0.39074,                 0.9552,                0.91612,                0.95081,                0.98575,                0.74625,                0.94824,                0.47466,                 1.2133,             0.00017836,             0.00017836,             0.00017836
                     76,                0.56783,                0.36065,                0.95221,                0.87171,                0.98235,                0.97641,                0.73068,                 1.0056,                0.49531,                 1.3183,             0.00017175,             0.00017175,             0.00017175
                     77,                0.56196,                0.37491,                0.95787,                 0.8914,                0.97245,                0.98026,                0.73945,                0.97161,                0.47274,                 1.3109,             0.00016515,             0.00016515,             0.00016515
                     78,                0.53449,                0.35699,                0.93673,                0.94818,                0.96617,                0.98103,                0.72862,                0.99845,                0.46933,                 1.3195,             0.00015855,             0.00015855,             0.00015855
                     79,                 0.5355,                0.37509,                0.95287,                0.94389,                0.96529,                0.97712,                 0.6966,                 1.0345,                0.52015,                 1.3358,             0.00015194,             0.00015194,             0.00015194
                     80,                0.55283,                0.37292,                0.95014,                0.93971,                0.95974,                0.98098,                0.72681,                0.97076,                0.49683,                 1.2827,             0.00014534,             0.00014534,             0.00014534
                     81,                0.53512,                0.35452,                0.94466,                 0.9167,                0.97352,                0.98584,                0.74209,                 0.9871,                0.47774,                  1.292,             0.00013874,             0.00013874,             0.00013874
                     82,                0.54355,                0.36667,                0.92936,                0.96681,                0.94669,                0.99037,                0.73438,                 1.1027,                0.48697,                 1.3697,             0.00013213,             0.00013213,             0.00013213
                     83,                0.54021,                 0.3583,                0.93076,                0.96564,                0.96858,                0.99215,                 0.7489,                  1.088,                 0.4559,                 1.3658,             0.00012553,             0.00012553,             0.00012553
                     84,                0.54008,                0.36315,                0.93289,                0.96762,                0.98679,                 0.9931,                0.75147,                 1.0857,                0.43308,                 1.3682,             0.00011893,             0.00011893,             0.00011893
                     85,                0.51358,                0.33503,                0.92352,                0.97626,                0.98028,                0.99305,                0.74503,                 1.0907,                0.44213,                  1.366,             0.00011232,             0.00011232,             0.00011232
                     86,                0.52494,                 0.3567,                0.94465,                0.97106,                 0.9799,                0.99323,                0.75321,                 1.0552,                0.44066,                 1.3102,             0.00010572,             0.00010572,             0.00010572
                     87,                0.49239,                0.31928,                0.92085,                0.97466,                0.97131,                0.99394,                0.75969,                 1.0011,                 0.4158,                 1.2725,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                0.48944,                0.34274,                0.93639,                 0.9838,                0.96623,                0.99432,                0.75591,                0.98313,                0.40555,                 1.2619,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                0.48335,                0.32503,                0.91001,                0.98491,                0.96254,                0.99335,                0.73911,                 0.9976,                0.40603,                 1.2667,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                0.50354,                0.33363,                0.91191,                 0.9618,                0.98517,                0.99334,                0.73236,                0.98729,                0.40346,                  1.253,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                0.43108,                0.26976,                 0.8816,                0.96154,                0.98412,                0.99334,                0.71945,                 1.0116,                0.39927,                  1.272,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                0.42972,                0.25812,                0.89109,                0.95128,                 0.9851,                0.99251,                0.71438,                  1.049,                0.41464,                 1.3028,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                0.41523,                0.25624,                0.87127,                0.94355,                0.98646,                0.99185,                 0.7253,                 1.0367,                0.42179,                 1.2855,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                0.42383,                0.25198,                 0.8898,                0.96734,                0.96833,                0.99187,                0.72894,                 1.0249,                0.41976,                 1.2599,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                0.40452,                0.24435,                0.88153,                0.96294,                0.96368,                0.99152,                0.72643,                  1.036,                0.43183,                 1.2688,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                0.41006,                0.24619,                0.87772,                0.96474,                0.96252,                  0.988,                0.72613,                 1.0117,                0.41747,                 1.2503,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                0.40939,                0.25374,                0.89182,                0.96598,                0.96594,                0.98825,                0.72672,                  1.019,                0.42124,                 1.2567,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                0.41394,                0.24403,                0.88346,                0.96544,                0.96813,                0.98831,                0.73352,                  1.028,                0.42744,                 1.2622,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                0.41593,                0.24714,                0.88514,                0.96515,                 0.9691,                0.98874,                0.73094,                 1.0276,                0.43219,                  1.263,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                0.39973,                0.24675,                 0.8774,                0.96363,                0.96808,                0.98874,                0.73323,                 1.0212,                0.43336,                 1.2544,             1.3273e-05,             1.3273e-05,             1.3273e-05
